"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'8512";"Electrical lighting or signalling equipment (excl. lamps of heading 8539), windscreen wipers, ...";307;429;301;341;281;223;6721;582;744;7389;19300;18930;23582;23887;31720;55802;99269;167078;209984;253363
"'6104";"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, ...";50267;57869;64991;79526;143601;125207;167458;196018;231687;243224;252945;248489;182565;186511;174732;209149;200942;168155;231288;251992
"'0708";"Leguminous vegetables, shelled or unshelled, fresh or chilled";43877;68703;68865;86702;126978;123391;131297;133200;136939;96419;146681;140242;141741;146215;244641;258332;276311;243298;247850;244066
"'9401";"Seats, whether or not convertible into beds, and parts thereof, n.e.s. (excl. medical, surgical, ...";12703;10598;8833;9364;6939;8662;11860;20534;20763;11185;25031;30354;32163;38393;121629;253067;315401;204531;217339;243593
"'6307";"Made-up articles of textile materials, incl. dress patterns, n.e.s.";900;1975;7263;9697;14135;15168;59101;86091;137132;91273;136409;200643;218705;289303;254879;229370;198851;245768;158346;223905
"'0811";"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not ...";29889;25086;30456;32454;77341;88840;50195;50653;67648;81105;98757;94857;75210;84297;81724;109227;115865;127278;148260;194214
"'8538";"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...";68326;96286;91321;93932;100873;106655;74428;81267;126376;134534;129497;112110;86538;100726;109811;123567;139258;117625;152503;188529
"'8517";"Telephone sets, incl. smartphones and other telephones for cellular networks or for other wireless ...";1690;871;1384;3057;892;1371;1348;874;1552;1847;3801;5832;12577;8379;13213;47314;163067;124772;166663;174144
"'1212";"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or ...";35562;39019;55901;56191;43820;35130;31983;29090;36079;45283;47214;45148;42377;51479;79942;90268;109767;115613;245988;167560
"'2603";"Copper ores and concentrates";7167;7754;10629;24393;51782;43680;63094;72672;67151;89019;83321;98940;106806;89648;164090;124614;95882;117107;184477;161397
"'1504";"Fats and oils and their fractions of fish or marine mammals, whether or not refined (excl. ...";11640;18866;16256;17455;23365;41454;31123;40650;31065;48578;34369;77706;101419;82955;73499;66985;64303;87192;65296;160011
"'2005";"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen ...";79843;108219;99677;98613;110243;163242;139643;150163;150087;136929;142583;172673;121299;139253;143319;164884;164818;146968;163745;156901
"'6211";"Tracksuits, ski suits, swimwear and other garments, n.e.s. (excl. knitted or crocheted)";113085;132174;183043;309347;205206;210421;172612;147834;174291;150490;162678;182316;168407;163553;192470;213596;191027;150951;173709;155523
"'0804";"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried";1367;644;922;1882;4475;4209;5762;4713;6316;3262;3418;14153;17785;17849;47423;56474;53375;114471;92559;149505
"'7404";"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...";15050;26679;40485;88244;103097;96270;91337;222024;390276;211654;167614;146077;129757;94044;127073;113671;119094;79059;140821;144207
