"Code";"Product label";"Exported value in 2003";"Exported value in 2004";"Exported value in 2005";"Exported value in 2006";"Exported value in 2007";"Exported value in 2008";"Exported value in 2009";"Exported value in 2010";"Exported value in 2011";"Exported value in 2012";"Exported value in 2013";"Exported value in 2014";"Exported value in 2015";"Exported value in 2016";"Exported value in 2017";"Exported value in 2018";"Exported value in 2019";"Exported value in 2020";"Exported value in 2021";"Exported value in 2022"
"'840991";"Parts suitable for use solely or principally with spark-ignition internal combustion piston ...";5002;16824;3276;5869;6360;2925;4141;3146;2357;2118;1359;1013;36527;79596;100037;132072;128568;127376;133999;112073
"'621290";"Corsets, braces, garters, suspenders and similar articles and parts thereof, incl. parts of ...";45837;52156;51019;51645;60521;71875;80230;71673;84888;77224;78829;85249;79835;77477;82469;88244;84434;72381;102322;101403
"'870710";"Bodies for motor cars and other motor vehicles principally designed for the transport of persons";0;25;0;0;0;0;0;0;0;5464;5119;23576;56201;35157;35850;54488;15470;17871;16049;100564
"'081110";"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened";25392;19466;24408;25318;70660;77247;41450;43861;53343;69728;80293;76123;59842;66135;63052;91340;96072;105230;101063;100540
"'870380";"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;26959;72170;98040
"'760200";"Waste and scrap, of aluminium (excl. slags, scale and the like from iron and steel production, ...";10767;14659;22668;34521;36024;33640;19061;43113;53154;56729;46884;47683;34270;36968;55996;49700;36495;38578;86871;97212
"'854470";"Optical fibre cables made up of individually sheathed fibres, whether or not containing electric ...";3733;5489;1973;482;746;809;35;372;153;91;232;507;99;136;3464;7375;15817;31087;56206;96194
"'640399";"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...";97137;105242;119191;108821;141075;143910;152259;149315;143763;112039;119676;109619;89745;91210;72831;72872;65391;69027;61111;95587
"'392690";"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excl. ...";6491;7404;8749;11057;21150;16829;15575;30078;31089;34655;32141;42947;45254;48538;54246;60228;79552;86626;92169;95417
"'610419";"Women's or girls' suits of textile materials, knitted or crocheted (excl. of synthetic fibres, ...";11;13;4;0;20;6549;45034;43142;48380;48367;30543;28082;21930;21960;15883;33193;44068;52636;79137;93124
"'620433";"Women's or girls' jackets and blazers of synthetic fibres (excl. knitted or crocheted, wind-jackets ...";29186;38754;24835;33815;47358;34206;32832;25465;34792;50950;43178;44100;42215;34499;76282;97451;115921;96987;132260;92555
